"time","state.mean_value"
"2024-03-02T20:48:00.000+04:00",
"2024-03-03T08:12:00.000+04:00",
"2024-03-03T19:36:00.000+04:00",
"2024-03-04T07:00:00.000+04:00","0.5"
"2024-03-04T18:24:00.000+04:00",
"2024-03-05T05:48:00.000+04:00","0.5"
"2024-03-05T17:12:00.000+04:00","0.5"
"2024-03-06T04:36:00.000+04:00","0.5"
"2024-03-06T16:00:00.000+04:00","0.5"
"2024-03-07T03:24:00.000+04:00","0.5026455026455027"
"2024-03-07T14:48:00.000+04:00","0.49206349206349204"
"2024-03-08T02:12:00.000+04:00",
"2024-03-08T13:36:00.000+04:00",
"2024-03-09T01:00:00.000+04:00",
"2024-03-09T12:24:00.000+04:00",
"2024-03-09T23:48:00.000+04:00",
"2024-03-10T11:12:00.000+04:00",
"2024-03-10T22:36:00.000+04:00","0.5"
"2024-03-11T10:00:00.000+04:00","0.5"
"2024-03-11T21:24:00.000+04:00","0.5384615384615384"
"2024-03-12T08:48:00.000+04:00","0.4977168949771689"
"2024-03-12T20:12:00.000+04:00",
"2024-03-13T07:36:00.000+04:00","0.5"
"2024-03-13T19:00:00.000+04:00",
"2024-03-14T06:24:00.000+04:00","0.5"
"2024-03-14T17:48:00.000+04:00",
"2024-03-15T05:12:00.000+04:00",
"2024-03-15T16:36:00.000+04:00",
"2024-03-16T04:00:00.000+04:00",
"2024-03-16T15:24:00.000+04:00",
"2024-03-17T02:48:00.000+04:00",
"2024-03-17T14:12:00.000+04:00",
"2024-03-18T01:36:00.000+04:00","0.5035460992907801"
"2024-03-18T13:00:00.000+04:00","0.4936708860759494"
"2024-03-19T00:24:00.000+04:00","0.5052631578947369"
"2024-03-19T11:48:00.000+04:00","0.49586776859504134"
"2024-03-19T23:12:00.000+04:00","0.5"
"2024-03-20T10:36:00.000+04:00","0.5"
"2024-03-20T22:00:00.000+04:00","0.5"
"2024-03-21T09:24:00.000+04:00","0.5"
"2024-03-21T20:48:00.000+04:00",
"2024-03-22T08:12:00.000+04:00",
"2024-03-22T19:36:00.000+04:00",
"2024-03-23T07:00:00.000+04:00",
"2024-03-23T18:24:00.000+04:00",
"2024-03-24T05:48:00.000+04:00",
"2024-03-24T17:12:00.000+04:00",
"2024-03-25T04:36:00.000+04:00","0.5"
"2024-03-25T16:00:00.000+04:00","0.5"
"2024-03-26T03:24:00.000+04:00","0.5"
"2024-03-26T14:48:00.000+04:00","0.5"
"2024-03-27T02:12:00.000+04:00","0.5"
"2024-03-27T13:36:00.000+04:00","0.5"
"2024-03-28T01:00:00.000+04:00","0.5042016806722689"
"2024-03-28T12:24:00.000+04:00","0.4965034965034965"
"2024-03-28T23:48:00.000+04:00",
"2024-03-29T11:12:00.000+04:00",
"2024-03-29T22:36:00.000+04:00",
"2024-03-30T10:00:00.000+04:00","0.5"
"2024-03-30T21:24:00.000+04:00",
"2024-03-31T08:48:00.000+04:00",
"2024-03-31T20:12:00.000+04:00",
"2024-04-01T07:36:00.000+04:00","0.5"
"2024-04-01T19:00:00.000+04:00",
"2024-04-02T06:24:00.000+04:00","0.5"
"2024-04-02T17:48:00.000+04:00",
"2024-04-03T05:12:00.000+04:00","0.5"
"2024-04-03T16:36:00.000+04:00",
"2024-04-04T04:00:00.000+04:00","0.5"
"2024-04-04T15:24:00.000+04:00","0.5"
"2024-04-05T02:48:00.000+04:00",
"2024-04-05T14:12:00.000+04:00",
"2024-04-06T01:36:00.000+04:00",
"2024-04-06T13:00:00.000+04:00",
"2024-04-07T00:24:00.000+04:00",
"2024-04-07T11:48:00.000+04:00",
"2024-04-07T23:12:00.000+04:00",
"2024-04-08T10:36:00.000+04:00",
"2024-04-08T22:00:00.000+04:00",
"2024-04-09T09:24:00.000+04:00",
"2024-04-09T20:48:00.000+04:00",
"2024-04-10T08:12:00.000+04:00",
"2024-04-10T19:36:00.000+04:00",
"2024-04-11T07:00:00.000+04:00",
"2024-04-11T18:24:00.000+04:00",
"2024-04-12T05:48:00.000+04:00",
"2024-04-12T17:12:00.000+04:00",
"2024-04-13T04:36:00.000+04:00",
"2024-04-13T16:00:00.000+04:00",
"2024-04-14T03:24:00.000+04:00",
"2024-04-14T14:48:00.000+04:00",
"2024-04-15T02:12:00.000+04:00","0.5036496350364964"
"2024-04-15T13:36:00.000+04:00","0.4948453608247423"
"2024-04-16T01:00:00.000+04:00",
"2024-04-16T12:24:00.000+04:00",
"2024-04-16T23:48:00.000+04:00","0.5094339622641509"
"2024-04-17T11:12:00.000+04:00","0.49295774647887325"
"2024-04-17T22:36:00.000+04:00",
"2024-04-18T10:00:00.000+04:00","0.5"
"2024-04-18T21:24:00.000+04:00",
"2024-04-19T08:48:00.000+04:00",
"2024-04-19T20:12:00.000+04:00",
"2024-04-20T07:36:00.000+04:00","0.5"
"2024-04-20T19:00:00.000+04:00",
"2024-04-21T06:24:00.000+04:00",
"2024-04-21T17:48:00.000+04:00",
"2024-04-22T05:12:00.000+04:00","0.5"
"2024-04-22T16:36:00.000+04:00","0.5"
"2024-04-23T04:00:00.000+04:00","0.5031446540880503"
"2024-04-23T15:24:00.000+04:00","0.4925373134328358"
"2024-04-24T02:48:00.000+04:00","0.5033112582781457"
"2024-04-24T14:12:00.000+04:00","0.49056603773584906"
"2024-04-25T01:36:00.000+04:00","0.5"
"2024-04-25T13:00:00.000+04:00","0.5"
"2024-04-26T00:24:00.000+04:00",
"2024-04-26T11:48:00.000+04:00",
"2024-04-26T23:12:00.000+04:00",
"2024-04-27T10:36:00.000+04:00",
"2024-04-27T22:00:00.000+04:00",
"2024-04-28T09:24:00.000+04:00",
"2024-04-28T20:48:00.000+04:00",
"2024-04-29T08:12:00.000+04:00","0.5"
"2024-04-29T19:36:00.000+04:00","0.5"
"2024-04-30T07:00:00.000+04:00","0.5031055900621118"
"2024-04-30T18:24:00.000+04:00","0.4"
"2024-05-01T05:48:00.000+04:00","0.50199203187251"
"2024-05-01T17:12:00.000+04:00","0.48"
"2024-05-02T04:36:00.000+04:00",
"2024-05-02T16:00:00.000+04:00",
"2024-05-03T03:24:00.000+04:00",
"2024-05-03T14:48:00.000+04:00",
"2024-05-04T02:12:00.000+04:00","0.5"
"2024-05-04T13:36:00.000+04:00","0.5"
"2024-05-05T01:00:00.000+04:00",
"2024-05-05T12:24:00.000+04:00","0.5"
"2024-05-05T23:48:00.000+04:00","0.5"
"2024-05-06T11:12:00.000+04:00","0.5"
"2024-05-06T22:36:00.000+04:00","0.5121951219512195"
"2024-05-07T10:00:00.000+04:00","0.4972677595628415"
"2024-05-07T21:24:00.000+04:00","0.5"
"2024-05-08T08:48:00.000+04:00","0.5"
"2024-05-08T20:12:00.000+04:00",
"2024-05-09T07:36:00.000+04:00","0.5"
"2024-05-09T19:00:00.000+04:00",
"2024-05-10T06:24:00.000+04:00",
"2024-05-10T17:48:00.000+04:00","0.6666666666666666"
"2024-05-11T05:12:00.000+04:00","0.42857142857142855"
"2024-05-11T16:36:00.000+04:00",
"2024-05-12T04:00:00.000+04:00","0.5"
"2024-05-12T15:24:00.000+04:00","0.5"
"2024-05-13T02:48:00.000+04:00","0.5"
"2024-05-13T14:12:00.000+04:00","0.5"
"2024-05-14T01:36:00.000+04:00","0.504"
"2024-05-14T13:00:00.000+04:00","0.49557522123893805"
"2024-05-15T00:24:00.000+04:00","0.5"
"2024-05-15T11:48:00.000+04:00","0.5"
"2024-05-15T23:12:00.000+04:00","0.5056179775280899"
"2024-05-16T10:36:00.000+04:00","0.49740932642487046"
"2024-05-16T22:00:00.000+04:00",
"2024-05-17T09:24:00.000+04:00",
"2024-05-17T20:48:00.000+04:00",
"2024-05-18T08:12:00.000+04:00",
"2024-05-18T19:36:00.000+04:00",
"2024-05-19T07:00:00.000+04:00","0.5"
"2024-05-19T18:24:00.000+04:00","0.5"
"2024-05-20T05:48:00.000+04:00","0.5"
"2024-05-20T17:12:00.000+04:00","0.5"
"2024-05-21T04:36:00.000+04:00","0.5"
"2024-05-21T16:00:00.000+04:00","0.5"
"2024-05-22T03:24:00.000+04:00","0.5025641025641026"
"2024-05-22T14:48:00.000+04:00","0.4915254237288136"
"2024-05-23T02:12:00.000+04:00","0.5051546391752577"
"2024-05-23T13:36:00.000+04:00","0.49572649572649574"
"2024-05-24T01:00:00.000+04:00",
"2024-05-24T12:24:00.000+04:00",
"2024-05-24T23:48:00.000+04:00",
"2024-05-25T11:12:00.000+04:00","0.5"
"2024-05-25T22:36:00.000+04:00",
"2024-05-26T10:00:00.000+04:00","0.5"
"2024-05-26T21:24:00.000+04:00","0.5"
"2024-05-27T08:48:00.000+04:00","0.5"
"2024-05-27T20:12:00.000+04:00",
"2024-05-28T07:36:00.000+04:00","0.5"
"2024-05-28T19:00:00.000+04:00","0.5"
"2024-05-29T06:24:00.000+04:00","0.5"
"2024-05-29T17:48:00.000+04:00","0.5"
"2024-05-30T05:12:00.000+04:00","0.5024154589371981"
"2024-05-30T16:36:00.000+04:00","0.42857142857142855"
"2024-05-31T04:00:00.000+04:00",
"2024-05-31T15:24:00.000+04:00",
"2024-06-01T02:48:00.000+04:00",
"2024-06-01T14:12:00.000+04:00",
"2024-06-02T01:36:00.000+04:00",
"2024-06-02T13:00:00.000+04:00",
"2024-06-03T00:24:00.000+04:00","0.5079365079365079"
"2024-06-03T11:48:00.000+04:00","0.48863636363636365"
"2024-06-03T23:12:00.000+04:00","0.4888888888888889"
"2024-06-04T10:36:00.000+04:00","0.5027624309392266"
"2024-06-04T22:00:00.000+04:00","0"
"2024-06-05T09:24:00.000+04:00","0.5"
"2024-06-05T20:48:00.000+04:00",
"2024-06-06T08:12:00.000+04:00","0.5"
"2024-06-06T19:36:00.000+04:00",
"2024-06-07T07:00:00.000+04:00",
"2024-06-07T18:24:00.000+04:00",
"2024-06-08T05:48:00.000+04:00",
"2024-06-08T17:12:00.000+04:00",
"2024-06-09T04:36:00.000+04:00",
"2024-06-09T16:00:00.000+04:00",
"2024-06-10T03:24:00.000+04:00","0.5111111111111111"
"2024-06-10T14:48:00.000+04:00","0.4888888888888889"
"2024-06-11T02:12:00.000+04:00","0.5"
"2024-06-11T13:36:00.000+04:00","0.5"
"2024-06-12T01:00:00.000+04:00","0.5045045045045045"
"2024-06-12T12:24:00.000+04:00","0.4962962962962963"
"2024-06-12T23:48:00.000+04:00","0.5"
"2024-06-13T11:12:00.000+04:00","0.5"
"2024-06-13T22:36:00.000+04:00",
"2024-06-14T10:00:00.000+04:00",
"2024-06-14T21:24:00.000+04:00",
"2024-06-15T08:48:00.000+04:00",
"2024-06-15T20:12:00.000+04:00",
"2024-06-16T07:36:00.000+04:00",
"2024-06-16T19:00:00.000+04:00",
"2024-06-17T06:24:00.000+04:00",
"2024-06-17T17:48:00.000+04:00",
"2024-06-18T05:12:00.000+04:00",
"2024-06-18T16:36:00.000+04:00",
"2024-06-19T04:00:00.000+04:00",
"2024-06-19T15:24:00.000+04:00",
"2024-06-20T02:48:00.000+04:00","0.5060240963855421"
"2024-06-20T14:12:00.000+04:00","0.42857142857142855"
