"time","W.mean_value"
"2024-02-17T14:48:00.000+04:00","13.063829787234043"
"2024-02-18T02:12:00.000+04:00","13.043956043956044"
"2024-02-18T13:36:00.000+04:00","22.316326530612244"
"2024-02-19T01:00:00.000+04:00","70.31632653061224"
"2024-02-19T12:24:00.000+04:00","97.41758241758242"
"2024-02-19T23:48:00.000+04:00","34.13483146067416"
"2024-02-20T11:12:00.000+04:00","43.08888888888889"
"2024-02-20T22:36:00.000+04:00","13.264367816091953"
"2024-02-21T10:00:00.000+04:00","30"
"2024-02-21T21:24:00.000+04:00","19.270588235294117"
"2024-02-22T08:48:00.000+04:00","58.19318181818182"
"2024-02-22T20:12:00.000+04:00","13.044943820224718"
"2024-02-23T07:36:00.000+04:00","26.144444444444446"
"2024-02-23T19:00:00.000+04:00","13.162162162162161"
"2024-02-24T06:24:00.000+04:00","28.58695652173913"
"2024-02-24T17:48:00.000+04:00","12.988095238095237"
"2024-02-25T05:12:00.000+04:00","53.9"
"2024-02-25T16:36:00.000+04:00","12.960526315789474"
"2024-02-26T04:00:00.000+04:00","49.24752475247525"
"2024-02-26T15:24:00.000+04:00","22.680851063829788"
"2024-02-27T02:48:00.000+04:00","56.276595744680854"
"2024-02-27T14:12:00.000+04:00","110.14606741573034"
"2024-02-28T01:36:00.000+04:00","20.25263157894737"
"2024-02-28T13:00:00.000+04:00","75.89583333333333"
"2024-02-29T00:24:00.000+04:00","89.1588785046729"
"2024-02-29T11:48:00.000+04:00","53.88172043010753"
"2024-02-29T23:12:00.000+04:00","13.34020618556701"
"2024-03-01T10:36:00.000+04:00","13.011363636363637"
"2024-03-01T22:00:00.000+04:00","13.224719101123595"
"2024-03-02T09:24:00.000+04:00","13.080459770114942"
"2024-03-02T20:48:00.000+04:00","13.164835164835164"
"2024-03-03T08:12:00.000+04:00","14.516129032258064"
"2024-03-03T19:36:00.000+04:00","13.175824175824175"
"2024-03-04T07:00:00.000+04:00","84.23809523809524"
"2024-03-04T18:24:00.000+04:00","13.287234042553191"
